label,count,category,method,confidence,details
country,120,Other,llm,LOW,Country does not fit well into any biomedical sample characteristic category
met_amplification,119,Other,llm,LOW,"Met_amplification is not clearly related to any of the predefined categories, but it could be related to a specific experimental or analytical technique."
other batch,118,Other,llm,LOW,"Other batch is not clearly related to any of the predefined categories, but it could be related to a specific experimental or analytical technique."
date of array,117,Other,llm,LOW,"Date of array is not clearly related to any of the predefined categories, but it could be related to a specific experimental or analytical technique."
batch.date,116,Other,llm,LOW,"Batch.date is not clearly related to any of the predefined categories, but it could be related to a specific experimental or analytical technique."
fragments in clean bam,112,Other,llm,HIGH,This label does not fit into any specific biomedical sample characteristic category. It appears to be related to bioinformatics processing.
sensor,110,Other,llm,HIGH,This label does not fit into any specific biomedical sample characteristic category. It appears to be related to experimental setup or equipment.
spike-in,108,Other,llm,HIGH,This label does not fit into any specific biomedical sample characteristic category. It appears to be related to experimental design or quality control.
other,106,Other,llm,HIGH,This label is too vague and does not fit into any specific biomedical sample characteristic category.
admission,105,Other,llm,LOW,"Could be related to hospital admission, but unclear how it relates to biospecimen characteristics"
circumstances,103,Other,llm,LOW,Too vague to determine a clear relationship to biospecimen characteristics
target,102,Other,llm,LOW,The label is too vague and does not fit into any specific category.
geo series,101,Other,llm,LOW,"The label appears to be related to a series of geographic locations, but it does not fit into any specific category."
library strategy,101,Other,llm,LOW,"The label appears to be related to a laboratory technique, but it does not fit into any specific category."
geo accession,101,Other,llm,LOW,"The label appears to be related to a geographic location, but it does not fit into any specific category."
Filter number,101,Other,llm,LOW,"This label does not fit well into any of the predefined categories, as it seems to be related to a technical or procedural aspect rather than a biological characteristic."
cortical_score,100,Other,llm,MEDIUM,"This label does not fit well into any of the predefined categories, as it seems to be related to a specific measurement or assessment rather than a biological characteristic."
striatal_score,100,Other,llm,MEDIUM,"Similar to cortical_score, this label does not fit well into any of the predefined categories, as it seems to be related to a specific measurement or assessment rather than a biological characteristic."
channel count,100,Other,llm,LOW,"This label does not fit well into any of the predefined categories, as it seems to be related to a technical or procedural aspect rather than a biological characteristic."
reporter,96,Other,llm,LOW,Reporter is not clearly related to any of the predefined categories
roi lot,95,Other,llm,LOW,Roi lot is not clearly related to any of the predefined categories
chemistry,94,Other,llm,LOW,"Chemistry is a broad term that could refer to many things, but in the context of biomedical samples, it does not fit neatly into any of the predefined categories."
purification,92,Other,llm,LOW,"Purification is a process that is applied to biospecimens, but it is not a characteristic of the biospecimen itself."
replicate # in experiment,88,Other,llm,HIGH,This label refers to the experimental design and does not fit into any of the predefined biomedical categories.
progression_free_survival_censor,88,Other,llm,HIGH,"This label does not fit into any specific biomedical sample characteristic category, as it appears to be related to a clinical outcome or endpoint rather than a sample characteristic."
experiment year_month,86,Other,llm,HIGH,"This label appears to be related to the timing or date of the experiment, which is not a characteristic of the sample itself."
instance,84,Other,llm,HIGH,This label is too vague and does not fit into any specific biomedical sample characteristic category.
integrative analysis,81,Other,llm,LOW,"Integrative analysis is a research approach, not a sample characteristic."
panel,79,Other,llm,HIGH,"The term 'panel' is too broad and does not fit into any specific category. It could refer to a panel of genes, a panel of samples, or a panel of experts."
expression,79,Other,llm,HIGH,"The term 'expression' is too broad and does not fit into any specific category. It could refer to gene expression, protein expression, or other types of expression."
adapter sequence,79,Other,llm,HIGH,"The term 'adapter sequence' is a technical term in molecular biology, but it does not fit into any specific category."
mib,78,Other,llm,LOW,The term 'mib' is unclear and does not fit into any specific category.
geo expression data,77,Other,llm,LOW,This label does not fit into any of the predefined categories as it seems to be related to a type of data rather than a sample characteristic.
replicate / experiment,75,Other,llm,LOW,This label does not fit into any of the predefined categories as it seems to be related to the experimental design rather than a sample characteristic.
ClinicalInformation,75,Other,llm,LOW,This label is too broad and does not fit into any of the predefined categories as it could encompass various types of clinical information.
spike-ins,75,Other,llm,LOW,This label does not fit into any of the predefined categories as it seems to be related to a type of control or reference sample rather than a sample characteristic.
preservation method,75,Other,llm,HIGH,"Preservation method is not directly related to any of the predefined categories, but it is an important characteristic of biospecimens."
tags,70,Other,llm,LOW,Tags is not a clear biomedical term and does not fit into any other category
restriction enzymes,67,Other,llm,LOW,"This label does not fit well with any of the predefined categories, as it seems to be related to a laboratory technique or reagent."
structure,67,Other,llm,LOW,"This label is too vague and does not fit well with any of the predefined categories, as it could refer to various aspects of biospecimens or experiments."
backbone,66,Other,llm,LOW,"This label does not fit well with any of the predefined categories, as it could refer to various aspects of biospecimens or experiments, such as molecular structure or experimental design."
genetic variants,66,Other,llm,HIGH,"Does not fit into any specific category, but could be related to Biospecimen Disease Condition or Biospecimen Type"
risk,65,Other,llm,HIGH,"Does not fit into any specific category, but could be related to Biospecimen Disease Condition or Treatment"
immune border,64,Other,llm,HIGH,"Does not fit into any specific category, but could be related to Biospecimen Disease Condition or Biospecimen Type"
comments,64,Other,llm,HIGH,"Does not fit into any specific category, likely free text or notes"
cag repeat size,64,Other,llm,MEDIUM,CAG repeat size is a genetic term that refers to the number of CAG repeats in a gene. It does not fit into any of the predefined categories.
library_batch,64,Other,llm,LOW,Library batch is a term used in molecular biology to describe a batch of DNA libraries. It does not fit into any of the predefined categories.
enrichment method,63,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to sample preparation or processing."
library prep person,63,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to sample preparation or processing."
carbon source,62,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to cell culture or microbiology."
corrector,60,Other,llm,LOW,The term 'corrector' is not clearly related to any of the predefined categories.
coo,60,Other,llm,LOW,The term 'coo' is not clearly related to any of the predefined categories.
angiogenesis score,60,Other,llm,LOW,The term 'angiogenesis score' is not clearly related to any of the predefined categories.
ras score,60,Other,llm,LOW,The term 'ras score' is not clearly related to any of the predefined categories.
cag repeats,60,Other,llm,HIGH,This label does not fit into any predefined category as it refers to a specific genetic characteristic.
cycling,58,Other,llm,MEDIUM,"This label could refer to various biological processes, but without more context, it is difficult to assign it to a specific category."
respirations per minute,58,Other,llm,HIGH,"This label refers to a physiological measurement, but it does not fit into any predefined category as it is not a characteristic of the biospecimen itself."
cag length,56,Other,llm,LOW,"Cag length does not fit neatly into any of the predefined categories, and without more context, it's difficult to determine its relevance."
commercial source,56,Other,llm,LOW,This does not fit well into any category
topography,56,Other,llm,LOW,This does not fit well into any category
kit mutation,54,Other,llm,LOW,"Does not fit into any specific category, possibly related to experimental or technical aspects."
library version,54,Other,llm,LOW,"Does not fit into any specific category, possibly related to experimental or technical aspects."
sort strategy,54,Other,llm,LOW,"Sort strategy does not fit well into any of the predefined categories, as it likely refers to a laboratory or analytical technique."
match degree,54,Other,llm,LOW,"Match degree does not fit well into any of the predefined categories, as it likely refers to a measure of similarity or correlation."
collected_by,53,Other,llm,LOW,"This label does not fit into any specific category, as it refers to the person or entity collecting the sample."
platform,53,Other,llm,LOW,"This label is likely referring to the experimental or analytical platform used, which does not fit into any specific category."
biological_replicate,52,Other,llm,LOW,"This label refers to the experimental design, specifically the use of biological replicates, which does not fit into any specific category."
genetic specifics,52,Other,llm,LOW,"Genetic specifics could relate to various aspects of biospecimen characteristics, but it does not fit neatly into any predefined category without more context."
last follow-up,51,Other,llm,LOW,"Last follow-up does not directly relate to any biospecimen characteristic but could be relevant in a clinical trial context, thus not fitting neatly into any predefined category."
ago protein,49,Other,llm,LOW,"This label seems to be related to a protein, but it does not fit well into any of the predefined categories."
kit,48,Other,llm,LOW,This label does not provide enough information to be categorized into any of the predefined categories.
scan method,48,Other,llm,LOW,This label does not provide enough information to be categorized into any of the predefined categories.
to concatenate,46,Other,llm,LOW,"The term 'to concatenate' is not clearly related to any of the predefined categories, and its meaning is more related to data processing or manipulation."
total bilirubin,46,Other,llm,HIGH,"Total bilirubin is a clinical measurement, not a characteristic of a biospecimen"
littermate,46,Other,llm,MEDIUM,"Littermate is a term used in animal studies, but it does not fit well into any of the predefined categories"
processing batch,46,Other,llm,HIGH,"Processing batch is a laboratory or experimental parameter, not a characteristic of a biospecimen"
mean.corpuscular.volume,46,Other,llm,HIGH,"Mean corpuscular volume is a clinical measurement, not a characteristic of a biospecimen"
histone mark,44,Other,llm,MEDIUM,"Histone mark is a specific type of epigenetic modification, but it does not fit well into any of the predefined categories."
modality,44,Other,llm,HIGH,Modality does not fit into any specific biomedical sample characteristic category.
temp,43,Other,llm,HIGH,Temp does not fit into any specific biomedical sample characteristic category.
nutritional state,43,Other,llm,HIGH,Nutritional state does not fit into any specific biomedical sample characteristic category.
Cluster,42,Other,llm,HIGH,Cluster does not fit into any specific biomedical sample characteristic category.
markers used for sorting,42,Other,llm,HIGH,Markers used for sorting does not fit into any specific biomedical sample characteristic category.
number cag repeats,42,Other,llm,HIGH,Number cag repeats does not fit into any specific biomedical sample characteristic category.
experimental variables,42,Other,llm,HIGH,Experimental variables does not fit into any specific biomedical sample characteristic category.
gel_bead_version,40,Other,llm,LOW,"This label does not fit into any of the predefined categories, as it appears to be a technical or experimental parameter."
pipeline.version,39,Other,llm,HIGH,"This label does not fit well with any biomedical sample characteristic categories, so it is categorized as Other."
tau_score,39,Other,llm,MEDIUM,"Tau score is a measure of tau protein levels, but it does not fit well with any biomedical sample characteristic categories, so it is categorized as Other."
profession,39,Other,llm,HIGH,"Profession is not a biomedical sample characteristic, so it is categorized as Other."
freezer,39,Other,llm,HIGH,"Freezer is a storage condition, but it does not fit well with any biomedical sample characteristic categories, so it is categorized as Other."
labor,38,Other,llm,HIGH,"Labor is not a biomedical sample characteristic, so it is categorized as Other."
data file subset,38,Other,llm,LOW,"Data file subset does not fit into any of the predefined categories, as it is related to data organization rather than biomedical sample characteristics."
data type,37,Other,llm,LOW,"Data type does not fit into any of the predefined categories, as it is related to data organization rather than biomedical sample characteristics."
Cycle,37,Other,llm,LOW,"Cycle could refer to various aspects of a biological sample, such as cell cycle or treatment cycle, but without more context, it is difficult to assign it to a specific category."
paired with,37,Other,llm,LOW,"Paired with is a vague term that could refer to various aspects of a biological sample, such as paired samples or paired treatments, but without more context, it is difficult to assign it to a specific category."
batch number,36,Other,llm,LOW,"Batch number is a label that does not fit well within any of the predefined categories, as it is more related to the sample processing or storage rather than a characteristic of the biological sample itself."
number of replicates,36,Other,llm,HIGH,"This label does not fit into any specific biomedical sample characteristic category, as it refers to the experimental design rather than a sample characteristic."
water salinity,36,Other,llm,HIGH,"This label does not fit into any specific biomedical sample characteristic category, as it refers to an environmental condition rather than a sample characteristic."
locale,36,Other,llm,HIGH,"This label does not fit into any specific biomedical sample characteristic category, as it refers to a geographical location rather than a sample characteristic."
asbestos-fiber count,34,Other,llm,MEDIUM,"This label does not fit into any of the predefined categories, as it appears to be a measurement of asbestos fibers, which is not directly related to biospecimen characteristics."
method of preservation,34,Other,llm,MEDIUM,"This label does not fit into any of the predefined categories, as it appears to be a method used to preserve the biospecimen, which is not directly related to biospecimen characteristics."
tandem repeat number,34,Other,llm,HIGH,This label does not fit into any predefined category as it refers to a specific genetic feature.
core code,33,Other,llm,MEDIUM,This label does not provide enough context to be assigned to a specific category.
chip-antibody cat,33,Other,llm,MEDIUM,"This label appears to be related to a specific experimental technique, but does not fit into any predefined category."
definite analysis,33,Other,llm,MEDIUM,This label does not provide enough context to be assigned to a specific category.
total volume,33,Other,llm,MEDIUM,"This label refers to a physical property of the biospecimen, but does not fit into any predefined category."
genetic variants inheritance,33,Other,llm,HIGH,"This label refers to a specific genetic feature, but does not fit into any predefined category."
twins,32,Other,llm,MEDIUM,"This label does not fit well with any of the predefined categories, as it does not describe a biospecimen characteristic directly."
virus accession number,32,Other,llm,LOW,"This label does not fit well with any of the predefined categories, as it seems to be a unique identifier for a virus rather than a biospecimen characteristic."
note_other,30,Other,llm,LOW,"This label is too vague and does not provide enough information to categorize it accurately, so it is assigned to the Other category."
test,30,Other,llm,LOW,test is too vague to be assigned to a specific category
promoter,30,Other,llm,LOW,"promoter is a term from molecular biology, but it does not fit well into any of the predefined categories"
preparation method,30,Other,llm,LOW,preparation method is a term that does not fit well into any of the predefined categories
line name in manuscript,30,Other,llm,HIGH,"This label does not fit into any specific biomedical sample characteristic category, as it seems to refer to a naming convention in a manuscript rather than a characteristic of the biospecimen itself."
lactate,29,Other,llm,HIGH,"Lactate is a biomarker or a chemical compound, not fitting well into any of the predefined categories."
los,29,Other,llm,HIGH,"LOS typically stands for Length of Stay, which is a clinical or administrative metric rather than a biospecimen characteristic."
creatinine,29,Other,llm,HIGH,"Creatinine is a biomarker or a chemical compound, not fitting well into any of the predefined categories."
tobacco,28,Other,llm,HIGH,Does not fit into any specific biomedical sample characteristic category
specific primer,27,Other,llm,HIGH,Does not fit into any specific biomedical sample characteristic category
culture results,27,Other,llm,HIGH,Does not fit into any specific biomedical sample characteristic category
run,27,Other,llm,HIGH,Does not fit into any specific biomedical sample characteristic category
sort fraction,27,Other,llm,HIGH,Does not fit into any specific biomedical sample characteristic category
variant,26,Other,llm,LOW,"Variant is a general term that could refer to many things, such as genetic variants or experimental variants, and does not fit well into any specific category."
clinical,26,Other,llm,LOW,"Clinical is a general term that could refer to many things, such as clinical trials or clinical samples, and does not fit well into any specific category."
ectopic expression,25,Other,llm,LOW,"Ectopic expression refers to the expression of a gene or protein in an abnormal location, but it does not fit well into any of the predefined categories"
biological replicates,24,Other,llm,LOW,This label does not fit into any of the predefined categories as it refers to the number of times a biological experiment is repeated.
percent_aligned,24,Other,llm,HIGH,This label does not fit into any of the predefined categories as it seems to be related to sequencing data quality rather than a biospecimen characteristic.
technical_replicate_number,24,Other,llm,HIGH,This label is related to experimental design and does not describe a biospecimen characteristic.
biological_replicate_number,24,Other,llm,HIGH,"Similar to technical replicate, this label is related to experimental design and does not describe a biospecimen characteristic."
date_death,24,Other,llm,HIGH,This label is related to the donor's medical history but does not describe a biospecimen characteristic.
decode_name,22,Other,llm,LOW,Decode_name does not fit well into any of the predefined categories.
sorting,20,Other,llm,LOW,"Sorting is not a clear fit for any category, but could be related to sample processing"
chip processing date,20,Other,llm,LOW,chip processing date is not directly related to any of the predefined categories.
Parity,20,Other,llm,MEDIUM,"Parity is a demographic characteristic, but it does not fit well into any of the predefined categories"
calcium level,20,Other,llm,LOW,"calcium level is a measurement or characteristic, but it does not fit well into any of the predefined categories"
hospital admission,18,Other,llm,LOW,"Hospital admission is not directly related to biospecimen characteristics, but rather to the clinical context."
radiology,18,Other,llm,LOW,"Radiology is a medical imaging technique, not a characteristic of a biospecimen"
sort-gate,18,Other,llm,LOW,"Sort-gate is a laboratory technique, not a characteristic of a biospecimen"
sort gate,17,Other,llm,LOW,"Sort gate is a laboratory technique, not a characteristic of a biospecimen"
stitched reads,17,Other,llm,LOW,"Stitched reads is a term related to sequencing data, but it does not fit into any of the predefined categories"
raw reads,17,Other,llm,LOW,"Raw reads is a term related to sequencing data, but it does not fit into any of the predefined categories"
aligned reads,17,Other,llm,LOW,"Aligned reads is a term related to sequencing data, but it does not fit into any of the predefined categories"
level,17,Other,llm,LOW,"Level is a term that can have multiple meanings, but it does not fit into any of the predefined categories"
performance,16,Other,llm,LOW,"The label does not fit well into any of the predefined categories, as it is too vague and does not have a clear biological context."
vascular support,16,Other,llm,LOW,"The label does not fit well into any of the predefined categories, as it is too vague and does not have a clear biological context."
has_pressure,16,Other,llm,LOW,"The label does not fit well into any of the predefined categories, as it is too vague and does not have a clear biological context."
viral titre,16,Other,llm,HIGH,"Viral titre is a measure of the concentration of virus in a sample, which does not fit into any of the predefined categories."
pool,16,Other,llm,HIGH,"Pool is a general term that could refer to a collection of samples or data, but it does not fit into any of the predefined categories."
sorting fraction,16,Other,llm,MEDIUM,"Sorting fraction could refer to a specific subset of cells or samples, but it does not fit into any of the predefined categories."
oxygen,16,Other,llm,LOW,"Oxygen is not a characteristic of a biospecimen, but rather an environmental factor that may affect the biospecimen."
detachment,15,Other,llm,LOW,"Detachment is not a characteristic of a biospecimen, but rather a process or event that may occur during sample collection or processing."
primers,15,Other,llm,LOW,"Primers are not a characteristic of a biospecimen, but rather a type of molecular reagent used in laboratory experiments."
gel bead version,15,Other,llm,LOW,No clear connection to any predefined category
rip,15,Other,llm,LOW,No clear connection to any predefined category
ubi,14,Other,llm,LOW,No clear connection to any predefined category
measure,14,Other,llm,LOW,"Measure is a vague term that could refer to various aspects of the biospecimen, but it does not fit well into any specific category."
Weight,13,Other,llm,LOW,Weight is a physical characteristic that does not fit well into any specific category related to biospecimens.
pooling,13,Other,llm,LOW,Pooling is a process or technique that does not fit well into any specific category related to biospecimens.
functional connectivity,13,Other,llm,LOW,Functional connectivity is a complex concept that doesn't fit well into any of the predefined categories.
paradigm,13,Other,llm,LOW,Paradigm is a broad concept that doesn't fit well into any of the predefined categories.
div,12,Other,llm,LOW,This label is unclear and does not fit into any specific category.
sorting probe,12,Other,llm,LOW,This label is unclear and does not fit into any specific category.
product,12,Other,llm,LOW,This label is unclear and does not fit into any specific category.
oxygenation,12,Other,llm,HIGH,"Oxygenation is a process or condition, not a characteristic of a biospecimen."
expressing,12,Other,llm,HIGH,"Expressing is a process or condition, not a characteristic of a biospecimen."
operator,12,Other,llm,HIGH,Operator is not a characteristic of a biospecimen.
insertion site distance to gene,12,Other,llm,HIGH,"Insertion site distance to gene is a specific detail about a genetic modification, not a characteristic of a biospecimen."
replica,12,Other,llm,HIGH,Replica is not a characteristic of a biospecimen.
scale,12,Other,llm,LOW,"Scale is a vague term that could refer to many things, but it doesn't fit well into any of the predefined categories."
technical replicates,12,Other,llm,LOW,"Technical replicates refer to repeated measurements or experiments, which doesn't fit well into any of the predefined categories."
knockdown target,12,Other,llm,MEDIUM,"This label does not fit well into any predefined category, but it could be related to a specific experimental design or technique"
submission date,12,Other,llm,LOW,"This label is not related to biomedical sample characteristics, but rather to the metadata of the sample submission"
company,12,Other,llm,LOW,"This label is not related to biomedical sample characteristics, but rather to the metadata of the sample submission"
drinking,12,Other,llm,LOW,"This label is not related to biomedical sample characteristics, but rather to the metadata of the sample submission or a specific experimental design"
replicate experiment,12,Other,llm,LOW,"This label is not related to biomedical sample characteristics, but rather to the experimental design or methodology"
chip antibody manufacturer,11,Other,llm,MEDIUM,Manufacturer information is not directly related to biospecimen characteristics
salt.score,11,Other,llm,LOW,No clear connection to any predefined category
library label_name,10,Other,llm,LOW,No clear connection to any predefined category
metabolic activity,10,Other,llm,LOW,No clear connection to any predefined category
animals pooled,10,Other,llm,LOW,No clear connection to any predefined category
isolated by,10,Other,llm,LOW,No clear connection to any predefined category
driver gene,10,Other,llm,HIGH,"Does not fit into any predefined category, as it refers to a specific gene that drives a particular biological process."
transcription factor expression level,10,Other,llm,HIGH,"Does not fit into any predefined category, as it refers to the level of expression of a specific transcription factor."
cutting enzymes,10,Other,llm,HIGH,"Does not fit into any predefined category, as it refers to a specific type of enzyme used in molecular biology techniques."
chip antibody details,10,Other,llm,HIGH,"Does not fit into any predefined category, as it refers to specific details about antibodies used in a microarray chip experiment."
antigen reactivity,10,Other,llm,HIGH,"Does not fit into any predefined category, as it refers to the reactivity of an antigen with an antibody or immune cell."
number of cag repeats,9,Other,llm,HIGH,This label does not fit into any predefined category as it refers to a specific genetic characteristic.
data presented in the manuscript,9,Other,llm,HIGH,This label does not fit into any predefined category as it refers to the content of a manuscript.
hit.status,9,Other,llm,MEDIUM,This label does not fit into any predefined category as its meaning is unclear without more context.
sorting criteria,9,Other,llm,MEDIUM,This label does not fit into any predefined category as its meaning is unclear without more context.
well diameter in um,8,Other,llm,LOW,Well diameter in um is a physical measurement that does not fit into any specific biospecimen category.
molecule purification,8,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to the process of sample preparation."
clinical comments,8,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to additional information about the sample or patient."
digestion enzyme,8,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to the process of sample preparation."
incubation temperature,8,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to the conditions under which the sample was processed."
chip antibody manufacturers,7,Other,llm,HIGH,"This label does not fit into any specific category, but it could be related to the reagents used in the experiment."
bilirubin,7,Other,llm,HIGH,"Bilirubin is a biomarker, not a characteristic of a biospecimen"
ast,7,Other,llm,HIGH,"AST is a biomarker, not a characteristic of a biospecimen"
encode accession,7,Other,llm,HIGH,"Encode accession is a reference to a database, not a characteristic of a biospecimen"
alt,7,Other,llm,LOW,ALT is ambiguous and could refer to a biomarker or other non-biospecimen characteristic
variation,6,Other,llm,HIGH,"Variation is a general term that could refer to many things, not a characteristic of a biospecimen"
Labeling_reference,6,Other,llm,HIGH,"Labeling reference is a reference to a protocol or method, not a characteristic of a biospecimen"
Extraction_reference,6,Other,llm,HIGH,"Extraction reference is a reference to a protocol or method, not a characteristic of a biospecimen"
Extraction_amount,6,Other,llm,HIGH,"Does not fit into any specific category, but could be related to sample processing"
zone,6,Other,llm,LOW,"Could be related to sample location or processing, but unclear without more context"
mating pair,6,Other,llm,LOW,"Could be related to sample collection or experimental design, but unclear without more context"
ARN_quality,6,Other,llm,LOW,ARN_quality does not fit well into any category
extraction batch,6,Other,llm,LOW,Extraction batch does not fit well into any category
mother from,6,Other,llm,LOW,Mother from does not fit well into any category
expression level,6,Other,llm,LOW,Expression level does not fit well into any category
nitrogen,6,Other,llm,LOW,"Nitrogen is a chemical element, not a biospecimen characteristic"
tubular shadows,6,Other,llm,LOW,"Tubular shadows are a radiological feature, not a biospecimen characteristic"
exposed pollutants,6,Other,llm,LOW,"Exposed pollutants are an environmental factor, not a biospecimen characteristic"
cross,6,Other,llm,LOW,"Cross is a vague term, not a biospecimen characteristic"
behavior,6,Other,llm,LOW,"Behavior is a complex trait, not a biospecimen characteristic"
mean number of oocysts,6,Other,llm,HIGH,"This label refers to a specific measurement or count, but it doesn't fit into any of the predefined categories."
number of half-sclerotomes,6,Other,llm,HIGH,"This label refers to a specific measurement or count, but it doesn't fit into any of the predefined categories."
Bra,6,Other,llm,LOW,This label is unclear and doesn't seem to fit into any of the predefined categories.
body weight,6,Other,llm,HIGH,"This label refers to a specific measurement, but it doesn't fit into any of the predefined categories."
sampling post confirm,6,Other,llm,LOW,This label is unclear and doesn't seem to fit into any of the predefined categories.
library_strategy,5,Other,llm,LOW,"Library strategy is a term related to sequencing or genomics, but it does not fit well into any of the predefined categories."
term accession number,5,Other,llm,LOW,"Term accession number is likely a reference to a database or cataloging system, but it does not fit well into any of the predefined categories."
term source ref,5,Other,llm,LOW,Term source ref does not fit into any specific biomedical sample characteristic category
experiment performed in,4,Other,llm,LOW,Experiment performed in does not fit into any specific biomedical sample characteristic category
vector construct,4,Other,llm,LOW,"Vector construct is a term related to genetic engineering, but it doesn't fit well into any of the predefined categories."
chip magnetic beads,4,Other,llm,LOW,"Chip magnetic beads are a type of laboratory tool, but it doesn't fit well into any of the predefined categories."
gating,4,Other,llm,LOW,"Gating is a term related to flow cytometry, but it doesn't fit well into any of the predefined categories."
express,4,Other,llm,LOW,"Express is a term related to gene expression, but it doesn't fit well into any of the predefined categories."
isolation column,4,Other,llm,LOW,"Isolation column is a type of laboratory tool, but it doesn't fit well into any of the predefined categories."
antibody lot number,4,Other,llm,HIGH,"This label does not fit into any of the predefined categories. It seems to be related to the antibody used in the experiment, but it does not describe a characteristic of the biospecimen."
antibody antibody description,4,Other,llm,HIGH,"This label does not fit into any of the predefined categories. It seems to be related to the antibody used in the experiment, but it does not describe a characteristic of the biospecimen."
immunology,4,Other,llm,HIGH,"This label does not fit into any of the predefined categories. It seems to be related to the field of study, but it does not describe a characteristic of the biospecimen."
details,3,Other,llm,HIGH,This label is too vague and does not fit into any of the predefined categories.
reactivity,3,Other,llm,LOW,"Reactivity is a broad term that could apply to various biological contexts, such as immune response or chemical reactions, but does not fit neatly into any of the predefined categories."
assay type,3,Other,llm,LOW,"Assay type refers to the method or technique used for a biological experiment or measurement, which does not fit into any of the predefined categories focused on sample characteristics."
clip antibody cat,2,Other,llm,LOW,"This label does not fit well with any of the predefined categories, as it seems to be related to a specific experimental or analytical technique."
feature type,2,Other,llm,LOW,This label is too vague and does not fit well with any of the predefined categories.
domain,2,Other,llm,LOW,Domain is a general term that does not fit well into any specific category
par-clip,2,Other,llm,LOW,par-clip is a specific technique or method that does not fit well into any specific category
data_type,2,Other,llm,LOW,data_type is a general term that does not fit well into any specific category
treatment,71874,Treatment,keyword,HIGH,exact_match: treatment
group,11700,Treatment,keyword,HIGH,exact_match: group
vaccine,3535,Treatment,keyword,MEDIUM,keyword: vaccine
segment type,1492,Treatment,similarity,MEDIUM,Similar to: treatment type (score: 0.769)
treatment description,1095,Treatment,keyword,HIGH,exact_match: treatment
temperature,1094,Treatment,llm,MEDIUM,"Temperature could be a condition or parameter of a treatment, such as a temperature-controlled environment for cell culture."
treatmentshort,992,Treatment,keyword,LOW,pattern: .*treatment.*
medium,949,Treatment,llm,MEDIUM,"Medium can refer to the culture medium used to grow cells or microorganisms, which can be considered a type of treatment or experimental condition."
tuberculin skin test,938,Treatment,llm,HIGH,"Tuberculin skin test is a type of treatment or diagnostic test, which can be considered a type of treatment."
drug treatment,934,Treatment,keyword,HIGH,exact_match: treatment
treated with,920,Treatment,llm,HIGH,"Treated with is a clear indication of a treatment or intervention, which can be considered a type of treatment."
delivery,804,Treatment,llm,MEDIUM,Delivery could refer to the administration of a treatment
treatment group,792,Treatment,keyword,HIGH,exact_match: treatment
control,757,Treatment,keyword,HIGH,exact_match: control
stimulus,736,Treatment,llm,HIGH,Stimulus is a type of treatment or intervention applied to cells or organisms
control description,731,Treatment,keyword,HIGH,exact_match: control
chip_antibody,680,Treatment,llm,HIGH,Chip antibody refers to a type of treatment or intervention used in chromatin immunoprecipitation experiments
response,667,Treatment,similarity,MEDIUM,Similar to: drug response (score: 0.762)
irradiated,667,Treatment,llm,HIGH,Irradiated refers to a type of treatment or intervention involving exposure to radiation
treatment duration,657,Treatment,keyword,HIGH,exact_match: treatment
first vaccination,614,Treatment,llm,HIGH,Describes a specific treatment or intervention
second vaccination,614,Treatment,llm,HIGH,Describes a specific treatment or intervention
subgroup,601,Treatment,keyword,LOW,pattern: .*group.*
selection marker,554,Treatment,llm,MEDIUM,Selection marker is related to the treatment or experimental condition of the sample
groups,535,Treatment,keyword,LOW,pattern: .*group.*
molecular subgroup,509,Treatment,keyword,LOW,pattern: .*group.*
resistance,506,Treatment,similarity,MEDIUM,Similar to: drug resistance (score: 0.800)
diagnostic_group,500,Treatment,keyword,LOW,pattern: .*group.*
classification group,500,Treatment,keyword,HIGH,exact_match: group
chemical compound,500,Treatment,keyword,MEDIUM,keyword: compound
animal replicate,500,Treatment,similarity,MEDIUM,Similar to: animal treatment (score: 0.750)
induced,500,Treatment,llm,MEDIUM,"Induced could refer to a treatment or experimental condition applied to a biospecimen, but the context is unclear."
injection_materials,500,Treatment,llm,HIGH,Describes the treatment or intervention applied to the sample
curative_intent,496,Treatment,llm,HIGH,Related to treatment goals or outcomes
infected with/healthy control,476,Treatment,keyword,HIGH,exact_match: control
vaccine doses,455,Treatment,keyword,MEDIUM,keyword: vaccine
prior treatment,445,Treatment,keyword,HIGH,exact_match: treatment
media,417,Treatment,llm,MEDIUM,"Media can refer to the culture medium used in experiments, which can be considered a type of treatment or experimental condition."
response_group,398,Treatment,keyword,LOW,pattern: .*group.*
grouping,395,Treatment,keyword,LOW,pattern: .*group.*
vaccine type,387,Treatment,keyword,MEDIUM,keyword: vaccine
current medication,374,Treatment,keyword,HIGH,exact_match: medication
classification,369,Treatment,similarity,MEDIUM,Similar to: classification group (score: 0.824)
replicate description,362,Treatment,similarity,MEDIUM,Similar to: treatment description (score: 0.810)
experiment group,354,Treatment,keyword,HIGH,exact_match: group
treatment location,353,Treatment,keyword,HIGH,exact_match: treatment
amplification,341,Treatment,llm,MEDIUM,Could be a type of treatment or experimental condition
